-46.0517  -1.01512  -46.8152
-43.7491  -1.01512  -44.5126
-41.4465  -1.01512  -42.2101
-39.1439  -1.01512  -39.9075
-36.8414  -1.01512  -37.6049
-34.5388  -2.50432  -35.3023
-32.2362  -5.51751  -32.9997
-29.9336  -7.28584  -30.6971
-27.631  -8.94749  -28.3945
-25.3284  -11.7438  -26.092
-23.0259  -15.6055  -23.7894
-20.7233  -16.6989  -21.4868
-18.4207  -21.5531  -19.1842
-16.1181  -16.8904  -16.8816
-13.8155  -14.5791  -14.579
-11.5129  -12.2765  -12.2765
-9.21034  -9.97386  -9.97387
-6.90776  -7.67115  -7.67128
-4.60517  -5.36741  -5.3687
-2.30259  -3.05407  -3.06611
